0,71
1.7663301907969,69.58
3.500977328844,68.16
5.2039414141414,66.74
6.8752224466891,65.32
8.5148204264871,63.9
10.122735353535,62.48
11.698967227834,61.06
13.243516049383,59.64
14.756381818182,58.22
16.237564534231,56.8
17.687064197531,55.38
19.104880808081,53.96
20.491014365881,52.54
21.845464870932,51.12
23.168232323232,49.7
24.459316722783,48.28
25.718718069585,46.86
26.946436363636,45.44
28.142471604938,44.02
29.30682379349,42.6
30.439492929293,41.18
31.540479012346,39.76
32.609782042649,38.34
33.647402020202,36.92
34.653338945006,35.5
35.62759281706,34.08
36.570163636364,32.66
37.481051402918,31.24
38.360256116723,29.82
39.207777777778,28.4
40.023616386083,26.98
40.807771941639,25.56
41.560244444444,24.14
42.281033894501,22.72
42.970140291807,21.3
43.627563636364,19.88
44.253303928171,18.46
44.847361167228,17.04
45.409735353535,15.62
45.940426487093,14.2
46.439434567901,12.78
46.90675959596,11.36
47.342401571268,9.9399999999999
47.746360493827,8.5199999999999
48.118636363636,7.0999999999999
48.459229180696,5.6799999999999
48.768138945006,4.2599999999999
49.045365656566,2.8399999999999
49.290909315376,1.4199999999999
